Minute,Average of GHI,Average of Temperature
110850,0,14.3
110860,0,14.25
110870,0,14.15
110880,0,14.15
110890,0,14.05
110900,0,13.95
110910,0,13.85
110920,0,13.75
110930,0,13.65
110940,0,13.6
110950,0,13.45
110960,0,13.35
110970,0,13.2
110980,0,13.1
110990,0,13
111000,0,12.9
111010,0,12.75
111020,0,12.7
111030,0,12.6
111040,0,12.45
111050,0,12.35
111060,0,12.25
111070,0,12.15
111080,0,12.1
111090,0,12
111100,0,11.9
111110,0,11.85
111120,0,11.75
111130,0,11.7
111140,0,11.65
111150,0,11.6
111160,0,11.55
111170,0,11.5
111180,0,11.4
111190,0,11.35
111200,0,11.3
111210,0,11.25
111220,0,11.2
111230,0,11.15
111240,0,11.1
111250,0,11.4
111260,0,11.75
111270,0,12.1
111280,0,12.4
111290,6,12.75
111300,27.5,13.05
111310,51.5,13.65
111320,80.5,14.2
111330,113,14.8
111340,147,15.35
111350,183,15.95
111360,173,16.55
111370,257,17.1
111380,294.5,17.6
111390,332,18.15
111400,369,18.65
111410,405.5,19.2
111420,441.5,19.75
111430,477,20.15
111440,512,20.55
111450,545,21
111460,577.5,21.45
111470,609,21.85
111480,639,22.3
111490,667,22.55
111500,694,22.8
111510,720,23.1
111520,747,23.35
111530,770,23.65
111540,791,23.9
111550,810,24.1
111560,828,24.3
111570,843,24.45
111580,857.5,24.6
111590,869.5,24.8
111600,879.5,25
111610,888,25.1
111620,896,25.2
111630,900,25.3
111640,901.5,25.35
111650,902,25.45
111660,900,25.55
111670,896.5,25.6
111680,891,25.6
111690,883,25.6
111700,869,25.6
111710,858,25.6
111720,845.5,25.65
111730,830.5,25.55
111740,813,25.5
111750,794,25.45
111760,773,25.35
111770,750.5,25.3
111780,728,25.2
111790,702,25.05
111800,675,24.9
111810,646.5,24.75
111820,616.5,24.6
111830,585,24.45
111840,478.5,24.25
111850,345.5,24.25
111860,328,24.25
111870,252.5,24.25
111880,214,24.25
111890,196,24.25
111900,175,22.75
111910,164.5,22.15
111920,164.5,21.55
111930,167.5,20.95
111940,161,20.35
111950,101,19.8
111960,79.5,19.2
111970,73,18.8
111980,47.5,18.4
111990,26.5,18
112000,10.5,17.6
112010,0,17.2
112020,0,16.85
112030,0,16.6
112040,0,16.45
112050,0,16.25
112060,0,16
112070,0,15.85
112080,0,15.65
112090,0,15.45
112100,0,15.3
112110,0,15.15
112120,0,15
112130,0,14.85
112140,0,14.7
112150,0,14.55
112160,0,14.45
112170,0,14.25
112180,0,14.15
112190,0,14
112200,0,13.9
112210,0,13.75
112220,0,13.6
112230,0,13.45
112240,0,13.35
112250,0,13.2
112260,0,13.05
112270,0,12.9
112280,0,12.75
112290,0,12.6
112300,0,12.45
112310,0,12.3
112320,0,12.15
112330,0,12.1
112340,0,12
112350,0,11.95
112360,0,11.85
112370,0,11.75
112380,0,11.65
112390,0,11.65
112400,0,11.65
112410,0,11.6
112420,0,11.65
112430,0,11.6
112440,0,11.6
112450,0,11.5
112460,0,11.45
112470,0,11.4
112480,0,11.3
112490,0,11.25
112500,0,11.1
112510,0,11.05
112520,0,11
112530,0,10.85
112540,0,10.8
112550,0,10.65
112560,0,10.6
112570,0,10.55
112580,0,10.5
112590,0,10.45
112600,0,10.4
112610,0,10.35
112620,0,10.3
112630,0,10.3
112640,0,10.25
112650,0,10.2
112660,0,10.15
112670,0,10.1
112680,0,10.1
112690,0,10.45
112700,0,10.8
112710,0,11.1
112720,0,11.4
112730,11.5,11.75
112740,26,12.05
112750,47,12.55
112760,71,13
112770,98,13.45
112780,126.5,13.9
112790,157,14.4
112800,188.5,14.9
112810,157.5,15.35
112820,220,15.8
112830,252.5,16.3
112840,259.5,16.8
112850,228.5,17.3
112860,278,17.75
112870,396,18.1
112880,416.5,18.4
112890,366.5,18.7
112900,466.5,19
112910,531,19.3
112920,487,19.6
112930,582.5,19.85
112940,609,20.1
112950,673.5,20.35
112960,649,20.6
112970,674,20.85
112980,713,21.1
112990,734.5,21.25
113000,742.5,21.45
113010,719,21.6
113020,735.5,21.8
113030,805.5,22
113040,780,22.2
113050,796.5,22.35
113060,783.5,22.45
113070,787.5,22.55
113080,803,22.7
113090,744.5,22.85
113100,749.5,23
113110,715.5,23.05
113120,587.5,23.2
113130,621,23.25
113140,600.5,23.35
113150,627,23.4
113160,621,23.5
113170,646,23.45
113180,601,23.4
113190,482,23.35
113200,298,23.35
113210,507.5,23.3
113220,334.5,23.3
113230,314.5,23.15
113240,413,23
113250,263,22.9
113260,253.5,22.8
113270,203.5,22.65
113280,208,22.55
113290,321.5,22.55
113300,298.5,22.55
113310,332.5,22.55
113320,214.5,22.55
113330,290.5,22.55
113340,222.5,21
113350,193,20.65
113360,159.5,20.25
113370,137.5,19.9
113380,107,19.5
113390,74,19.2
113400,53,18.8
113410,47,18.5
113420,35,18.25
113430,21,18
113440,11.5,17.7
113450,0,17.5
113460,0,17.2
113470,0,17
113480,0,16.75
113490,0,16.55
113500,0,16.35
113510,0,16.15
113520,0,15.95
113530,0,15.75
113540,0,15.55
113550,0,15.35
113560,0,15.15
113570,0,14.95
113580,0,14.75
113590,0,14.6
113600,0,14.45
113610,0,14.25
113620,0,14.1
113630,0,13.95
113640,0,13.75
113650,0,13.65
113660,0,13.5
113670,0,13.35
113680,0,13.2
113690,0,13.1
113700,0,12.95
113710,0,12.8
113720,0,12.75
113730,0,12.65
113740,0,12.5
113750,0,12.45
113760,0,12.3
113770,0,12.2
113780,0,12.05
113790,0,12
113800,0,11.9
113810,0,11.75
113820,0,11.65
113830,0,11.6
113840,0,11.45
113850,0,11.4
113860,0,11.3
113870,0,11.2
113880,0,11.1
113890,0,11
113900,0,10.9
113910,0,10.8
113920,0,10.75
113930,0,10.65
113940,0,10.5
113950,0,10.5
113960,0,10.4
113970,0,10.35
113980,0,10.3
113990,0,10.2
114000,0,10.15
114010,0,10.1
114020,0,10.1
114030,0,10.05
114040,0,10
114050,0,9.95
114060,0,9.9
114070,0,9.95
114080,0,9.9
114090,0,9.9
114100,0,9.95
114110,0,9.9
114120,0,9.9
114130,0,10.2
114140,0,10.5
114150,0,10.85
114160,0,11.15
114170,14,11.5
114180,26.5,11.8
114190,60,12.3
114200,90,12.75
114210,97.5,13.25
114220,125.5,13.75
114230,195,14.25
114240,213.5,14.75
114250,248,15.2
114260,287,15.7
114270,322.5,16.2
114280,354.5,16.7
114290,389.5,17.2
114300,418.5,17.65
114310,491.5,18.05
114320,473.5,18.35
114330,516.5,18.65
114340,535,19.05
114350,543.5,19.35
114360,564.5,19.75
114370,602,19.95
114380,647,20.2
114390,697.5,20.4
114400,671.5,20.65
114410,660.5,20.9
114420,675.5,21.1
114430,689.5,21.3
114440,703,21.5
114450,693.5,21.7
114460,719.5,21.85
114470,728.5,22.05
114480,782.5,22.25
114490,760.5,22.4
114500,775,22.55
114510,773,22.65
114520,782,22.8
114530,793,22.95
114540,803,23.1
114550,788,23.15
114560,764.5,23.25
114570,733.5,23.3
114580,760.5,23.4
114590,682.5,23.45
114600,740.5,23.5
114610,726.5,23.45
114620,717.5,23.45
114630,723.5,23.45
114640,714.5,23.4
114650,693,23.4
114660,737.5,23.4
114670,711.5,23.3
114680,597.5,23.2
114690,570.5,23.1
114700,626,23.05
114710,515,22.9
114720,562,22.8
114730,528.5,22.8
114740,494,22.8
114750,458.5,22.8
114760,422.5,22.8
114770,386,22.8
114780,348,21.55
114790,311.5,21.05
114800,274,20.45
114810,236,19.9
114820,199,19.35
114830,162.5,18.8
114840,128,18.25
114850,94.5,17.9
114860,56.5,17.55
114870,30.5,17.25
114880,13.5,16.9
114890,0,16.55
114900,0,16.2
114910,0,16
114920,0,15.85
114930,0,15.65
114940,0,15.45
114950,0,15.3
114960,0,15.1
114970,0,14.95
114980,0,14.8
114990,0,14.65
115000,0,14.45
115010,0,14.35
115020,0,14.2
115030,0,14
115040,0,13.9
115050,0,13.7
115060,0,13.55
115070,0,13.4
115080,0,13.25
115090,0,13.15
115100,0,13
115110,0,12.9
115120,0,12.75
115130,0,12.65
115140,0,12.5
115150,0,12.4
115160,0,12.3
115170,0,12.25
115180,0,12.15
115190,0,12.1
115200,0,12
115210,0,11.95
115220,0,11.85
115230,0,11.8
115240,0,11.7
115250,0,11.65
115260,0,11.6
115270,0,11.5
115280,0,11.45
115290,0,11.35
115300,0,11.3
115310,0,11.25
115320,0,11.15
115330,0,11.1
115340,0,11.05
115350,0,11
115360,0,10.95
115370,0,10.9
115380,0,10.85
115390,0,10.75
115400,0,10.7
115410,0,10.65
115420,0,10.6
115430,0,10.55
115440,0,10.5
115450,0,10.4
115460,0,10.35
115470,0,10.35
115480,0,10.3
115490,0,10.2
115500,0,10.15
115510,0,10.15
115520,0,10.15
115530,0,10.1
115540,0,10.1
115550,0,10.05
115560,0,10.05
115570,0,10.35
115580,0,10.65
115590,0,10.9
115600,0,11.15
115610,13.5,11.45
115620,31,11.75
115630,38,12.15
115640,58,12.6
115650,103.5,13
115660,136,13.4
115670,179,13.85
115680,204.5,14.25
115690,252.5,14.8
115700,300.5,15.3
115710,266,15.85
115720,366,16.4
115730,409.5,16.9
115740,463.5,17.45
115750,484,17.8
115760,534.5,18.2
115770,567.5,18.6
115780,601,19
115790,632.5,19.35
115800,663,19.75
115810,667,20
115820,689,20.3
115830,676,20.6
115840,702.5,20.9
115850,718.5,21.15
115860,733.5,21.45
115870,744.5,21.65
115880,769,21.85
115890,746,22.1
115900,809,22.25
115910,787,22.5
115920,792,22.65
115930,820.5,22.85
115940,807.5,23
115950,846.5,23.2
115960,865,23.35
115970,891.5,23.5
115980,850,23.7
115990,825,23.8
116000,845.5,23.9
116010,863.5,24
116020,858.5,24.1
116030,806.5,24.2
116040,862.5,24.3
116050,826,24.3
116060,752,24.3
116070,765.5,24.35
116080,709.5,24.35
116090,676.5,24.35
116100,720,24.35
116110,637,24.25
116120,584.5,24.15
116130,537.5,24.05
116140,499,23.95
116150,459.5,23.95
116160,419,23.85
116170,349.5,23.85
116180,347,23.85
116190,313,23.85
116200,310,23.85
116210,238.5,23.85
116220,334,22.75
116230,295.5,22.2
116240,255,21.7
116250,222,21.1
116260,205,20.6
116270,168.5,20
116280,119,19.5
116290,85,19.2
116300,54.5,18.95
116310,32,18.65
116320,12.5,18.35
116330,0,18.05
116340,0,17.75
116350,0,17.7
116360,0,17.65
116370,0,17.6
116380,0,17.5
116390,0,17.45
116400,0,17.4
116410,0,17.3
116420,0,17.2
116430,0,17.15
116440,0,17.05
116450,0,17
116460,0,16.9
116470,0,16.75
116480,0,16.6
116490,0,16.5
116500,0,16.3
116510,0,16.15
116520,0,16
116530,0,15.85
116540,0,15.8
116550,0,15.65
116560,0,15.5
116570,0,15.4
116580,0,15.3
116590,0,15.15
116600,0,15.05
116610,0,14.95
116620,0,14.85
116630,0,14.7
116640,0,14.55
116650,0,14.45
116660,0,14.3
116670,0,14.2
116680,0,14.05
116690,0,13.95
116700,0,13.8
116710,0,13.8
116720,0,13.75
116730,0,13.7
116740,0,13.65
116750,0,13.6
116760,0,13.55
116770,0,13.5
116780,0,13.5
116790,0,13.45
116800,0,13.45
116810,0,13.4
116820,0,13.3
116830,0,13.3
116840,0,13.25
116850,0,13.2
116860,0,13.2
116870,0,13.15
116880,0,13.1
116890,0,13.05
116900,0,13.05
116910,0,13
116920,0,13
116930,0,13
116940,0,12.95
116950,0,12.85
116960,0,12.75
116970,0,12.7
116980,0,12.6
116990,0,12.55
117000,0,12.5
117010,0,12.8
117020,0,13.1
117030,0,13.35
117040,0,13.7
117050,16,14
117060,32.5,14.3
117070,54,14.75
117080,79,15.3
117090,106.5,15.75
117100,171,16.25
117110,207.5,16.7
117120,197,17.2
117130,229,17.7
117140,262,18.25
117150,357.5,18.75
117160,394.5,19.3
117170,431.5,19.85
117180,468.5,20.35
117190,503.5,20.7
117200,539,21.05
117210,572.5,21.45
117220,605,21.8
117230,637,22.15
117240,666.5,22.5
117250,695.5,22.8
117260,723,23.05
117270,748.5,23.3
117280,766.5,23.55
117290,789,23.8
117300,810,24.05
117310,829.5,24.25
117320,846.5,24.5
117330,862.5,24.65
117340,879,24.85
117350,891,25.1
117360,900.5,25.3
117370,908.5,25.45
117380,914.5,25.6
117390,918.5,25.75
117400,922,25.9
117410,922,26.1
117420,920,26.2
117430,917.5,26.3
117440,911.5,26.35
117450,904,26.5
117460,894,26.6
117470,882.5,26.65
117480,869,26.75
117490,853,26.75
117500,836,26.8
117510,817,26.8
117520,796,26.8
117530,775,26.8
117540,750.5,26.85
117550,724.5,26.75
117560,697,26.65
117570,668.5,26.55
117580,638.5,26.45
117590,607.5,26.35
117600,574.5,26.3
117610,461,26.3
117620,429,26.3
117630,470.5,26.3
117640,434.5,26.3
117650,396.5,26.3
117660,360.5,24.95
117670,263,24.25
117680,230.5,23.55
117690,223,22.9
117700,188.5,22.15
117710,155,21.5
117720,107,20.8
117730,92,20.35
117740,64,19.95
117750,32.5,19.55
117760,19.5,19.15
117770,0,18.75
117780,0,18.3
117790,0,18.1
117800,0,17.85
117810,0,17.65
117820,0,17.45
117830,0,17.2
117840,0,17
117850,0,16.85
117860,0,16.65
117870,0,16.4
117880,0,16.2
117890,0,16
117900,0,15.8
117910,0,15.65
117920,0,15.45
117930,0,15.3
117940,0,15.1
117950,0,14.9
117960,0,14.75
117970,0,14.6
117980,0,14.45
117990,0,14.3
118000,0,14.15
118010,0,14
118020,0,13.9
118030,0,13.8
118040,0,13.7
118050,0,13.55
118060,0,13.5
118070,0,13.35
118080,0,13.25
118090,0,13.15
118100,0,13
118110,0,12.9
118120,0,12.8
118130,0,12.65
118140,0,12.55
118150,0,12.4
118160,0,12.3
118170,0,12.15
118180,0,12
118190,0,11.85
118200,0,11.7
118210,0,11.6
118220,0,11.55
118230,0,11.5
118240,0,11.4
118250,0,11.3
118260,0,11.2
118270,0,11.1
118280,0,10.95
118290,0,10.9
118300,0,10.75
118310,0,10.65
118320,0,10.5
118330,0,10.4
118340,0,10.35
118350,0,10.25
118360,0,10.15
118370,0,10.05
118380,0,9.95
118390,0,9.9
118400,0,9.85
118410,0,9.8
118420,0,9.75
118430,0,9.75
118440,0,9.65
118450,0,10.15
118460,0,10.65
118470,0,11.05
118480,0,11.55
118490,20.5,12.05
118500,43.5,12.55
118510,58,13.1
118520,84,13.65
118530,138,14.2
118540,173.5,14.75
118550,210.5,15.3
118560,205,15.85
118570,286.5,16.4
118580,324,17
118590,362.5,17.55
118600,400.5,18.15
118610,437.5,18.75
118620,474,19.3
118630,510,19.75
118640,545,20.15
118650,579,20.6
118660,612.5,21
118670,644,21.4
118680,674,21.8
118690,703,22.1
118700,730.5,22.4
118710,756.5,22.7
118720,781,23.05
118730,803.5,23.35
118740,824.5,23.65
118750,844,23.9
118760,861.5,24.1
118770,877,24.35
118780,893,24.6
118790,905,24.8
118800,915,25.05
118810,923,25.25
118820,929,25.4
118830,933,25.55
118840,936.5,25.75
118850,936,25.9
118860,934,26.05
118870,930.5,26.15
118880,924.5,26.3
118890,914.5,26.35
118900,895,26.45
118910,883,26.55
118920,825.5,26.6
118930,810,26.65
118940,793,26.65
118950,816,26.7
118960,797,26.75
118970,774,26.75
118980,751.5,26.75
118990,725.5,26.65
119000,697.5,26.6
119010,668.5,26.5
119020,639,26.4
119030,607,26.35
119040,574,26.3
119050,540,26.3
119060,505,26.3
119070,469.5,26.3
119080,433,26.3
119090,395.5,26.3
119100,358,24.95
119110,320,24.35
119120,282,23.75
119130,244.5,23.15
119140,206.5,22.55
119150,169.5,21.95
119160,134,21.35
119170,100.5,20.95
119180,68.5,20.55
119190,35.5,20.2
119200,14.5,19.8
119210,0,19.4
119220,0,19.05
119230,0,18.8
119240,0,18.55
119250,0,18.35
119260,0,18.1
119270,0,17.95
119280,0,17.7
119290,0,17.5
119300,0,17.3
119310,0,17.05
119320,0,16.85
119330,0,16.65
119340,0,16.45
119350,0,16.25
119360,0,16.1
119370,0,15.95
119380,0,15.75
119390,0,15.65
119400,0,15.5
119410,0,15.3
119420,0,15.2
119430,0,15.05
119440,0,14.9
119450,0,14.8
119460,0,14.65
119470,0,14.5
119480,0,14.35
119490,0,14.25
119500,0,14.05
119510,0,13.95
119520,0,13.8
119530,0,13.7
119540,0,13.65
119550,0,13.55
119560,0,13.45
119570,0,13.35
119580,0,13.25
119590,0,13.25
119600,0,13.15
119610,0,13.05
119620,0,13
119630,0,12.95
119640,0,12.85
119650,0,12.8
119660,0,12.65
119670,0,12.6
119680,0,12.5
119690,0,12.35
119700,0,12.3
119710,0,12.2
119720,0,12.05
119730,0,11.9
119740,0,11.8
119750,0,11.7
119760,0,11.55
119770,0,11.5
119780,0,11.4
119790,0,11.3
119800,0,11.2
119810,0,11.15
119820,0,11.05
119830,0,11
119840,0,10.95
119850,0,10.95
119860,0,10.9
119870,0,10.85
119880,0,10.8
119890,0,11.3
119900,0,11.75
119910,0,12.25
119920,0,12.75
119930,16,13.25
119940,31,13.75
119950,52.5,14.3
119960,73,14.8
119970,99.5,15.4
119980,131.5,15.95
119990,211.5,16.5
120000,176.5,17.05
120010,197.5,17.6
120020,295,18.2
120030,305.5,18.75
120040,399,19.35
120050,436,19.95
120060,429.5,20.5
120070,508,21
120080,542.5,21.45
120090,576,21.95
120100,609,22.45
120110,621,22.95
120120,669.5,23.4
120130,698,23.7
120140,707.5,24
120150,734,24.35
120160,718,24.6
120170,728.5,24.9
120180,769.5,25.2
120190,767.5,25.4
120200,793.5,25.6
120210,842.5,25.9
120220,851.5,26.1
120230,861,26.3
120240,874,26.55
120250,812,26.65
120260,825,26.8
120270,838,26.95
120280,849.5,27.1
120290,835,27.25
120300,836.5,27.4
120310,805,27.35
120320,665,27.35
120330,721.5,27.35
120340,793,27.3
120350,736.5,27.35
120360,711.5,27.35
120370,661.5,27.3
120380,731.5,27.2
120390,572,27.1
120400,573,27.05
120410,494,27
120420,504,26.95
120430,499,26.85
120440,494.5,26.75
120450,505,26.6
120460,503,26.5
120470,473,26.4
120480,417,26.25
120490,463,26.25
120500,453.5,26.25
120510,364.5,26.25
120520,316,26.25
120530,362,26.25
120540,277,24.8
120550,270.5,24.35
120560,232.5,23.85
120570,183.5,23.4
120580,145,22.95
120590,110,22.5
120600,102,22
120610,76,21.7
120620,55,21.45
120630,34,21.15
120640,13,20.9
120650,0,20.6
120660,0,20.3
120670,0,20.1
120680,0,19.95
120690,0,19.8
120700,0,19.6
120710,0,19.45
120720,0,19.25
120730,0,19.05
120740,0,18.9
120750,0,18.65
120760,0,18.5
120770,0,18.35
120780,0,18.1
120790,0,17.9
120800,0,17.75
120810,0,17.55
120820,0,17.35
120830,0,17.15
120840,0,16.95
120850,0,16.8
120860,0,16.65
120870,0,16.5
120880,0,16.4
120890,0,16.25
120900,0,16.1
120910,0,15.95
120920,0,15.9
120930,0,15.75
120940,0,15.6
120950,0,15.55
120960,0,15.4
120970,0,15.3
120980,0,15.25
120990,0,15.15
121000,0,15.05
121010,0,15
121020,0,14.9
121030,0,14.8
121040,0,14.8
121050,0,14.75
121060,0,14.65
121070,0,14.65
121080,0,14.55
121090,0,14.55
121100,0,14.45
121110,0,14.4
121120,0,14.35
121130,0,14.3
121140,0,14.2
121150,0,14.15
121160,0,14.05
121170,0,13.95
121180,0,13.85
121190,0,13.8
121200,0,13.7
121210,0,13.7
121220,0,13.65
121230,0,13.7
121240,0,13.65
121250,0,13.6
121260,0,13.6
121270,0,13.6
121280,0,13.6
121290,0,13.6
121300,0,13.55
121310,0,13.55
121320,0,13.5
121330,0,13.75
121340,0,14
121350,0,14.25
121360,0,14.45
121370,17,14.7
121380,33,14.9
121390,69.5,15.35
121400,88.5,15.8
121410,145,16.3
121420,160.5,16.75
121430,210,17.2
121440,245.5,17.6
121450,282,18.05
121460,279,18.5
121470,355,18.9
121480,379.5,19.35
121490,414,19.8
121500,449.5,20.2
121510,484.5,20.65
121520,517.5,21.05
121530,549.5,21.55
121540,588.5,22
121550,619.5,22.4
121560,682.5,22.85
121570,712,23.1
121580,737.5,23.35
121590,763.5,23.6
121600,786.5,23.85
121610,809,24.1
121620,830.5,24.35
121630,850,24.45
121640,867,24.5
121650,882.5,24.6
121660,894.5,24.65
121670,906.5,24.75
121680,849.5,24.8
121690,859,24.85
121700,864.5,24.85
121710,873,24.85
121720,862.5,24.9
121730,861,24.9
121740,857.5,24.9
121750,928,24.9
121760,922,24.9
121770,914.5,24.9
121780,902.5,24.85
121790,891,24.85
121800,877,24.85
121810,758.5,24.8
121820,742,24.8
121830,754,24.7
121840,709.5,24.7
121850,688,24.65
121860,665,24.65
121870,660.5,24.5
121880,634,24.4
121890,598.5,24.3
121900,570,24.15
121910,552.5,24.05
121920,521.5,23.95
121930,484,23.95
121940,452,23.95
121950,386,23.95
121960,370,23.95
121970,336.5,23.95
121980,293,22.35
121990,253.5,21.85
122000,223,21.4
122010,209,20.85
122020,176.5,20.35
122030,145,19.9
122040,115.5,19.4
122050,87.5,19.05
122060,61.5,18.75
122070,39,18.4
122080,19.5,18.05
122090,0,17.7
122100,0,17.4
122110,0,17.25
122120,0,17.05
122130,0,16.85
122140,0,16.65
122150,0,16.45
122160,0,16.3
122170,0,16.1
122180,0,15.9
122190,0,15.7
122200,0,15.55
122210,0,15.35
122220,0,15.2
122230,0,15
122240,0,14.85
122250,0,14.75
122260,0,14.55
122270,0,14.4
122280,0,14.3
122290,0,14.15
122300,0,14.05
122310,0,13.95
122320,0,13.85
122330,0,13.75
122340,0,13.65
122350,0,13.55
122360,0,13.45
122370,0,13.4
122380,0,13.3
122390,0,13.2
122400,0,13.15
122410,0,13.05
122420,0,13
122430,0,12.9
122440,0,12.85
122450,0,12.8
122460,0,12.7
122470,0,12.6
122480,0,12.5
122490,0,12.45
122500,0,12.35
122510,0,12.25
122520,0,12.25
122530,0,12.1
122540,0,12.05
122550,0,11.95
122560,0,11.85
122570,0,11.75
122580,0,11.7
122590,0,11.65
122600,0,11.55
122610,0,11.5
122620,0,11.45
122630,0,11.35
122640,0,11.3
122650,0,11.3
122660,0,11.25
122670,0,11.2
122680,0,11.15
122690,0,11.15
122700,0,11.15
122710,0,11.15
122720,0,11.15
122730,0,11.1
122740,0,11.1
122750,0,11.1
122760,0,11.15
122770,0,11.45
122780,0,11.75
122790,0,12.05
122800,6,12.35
122810,20.5,12.65
122820,39,12.95
122830,59,13.3
122840,97,13.65
122850,108,14.05
122860,127.5,14.4
122870,174.5,14.75
122880,170.5,15.2
122890,200.5,15.5
122900,259.5,15.8
122910,348,16.15
122920,369,16.5
122930,403,16.85
122940,452.5,17.15
122950,488,17.5
122960,521,17.8
122970,540.5,18.1
122980,592.5,18.45
122990,623.5,18.8
123000,653,19.1
123010,681.5,19.4
123020,708,19.75
123030,714,20.05
123040,732,20.4
123050,754,20.75
123060,774,21.05
123070,786.5,21.25
123080,803.5,21.55
123090,814,21.75
123100,839.5,22
123110,851,22.2
123120,816,22.45
123130,843,22.6
123140,849,22.75
123150,792,22.85
123160,852.5,23
123170,852,23.15
123180,822.5,23.3
123190,812,23.35
123200,805,23.4
123210,728.5,23.45
123220,725.5,23.5
123230,713.5,23.5
123240,700,23.55
123250,686,23.55
123260,732.5,23.55
123270,714.5,23.55
123280,694,23.5
123290,672,23.5
123300,651,23.5
123310,423.5,23.4
123320,407,23.3
123330,457,23.2
123340,347.5,23.05
123350,330,23
123360,482.5,22.85
123370,496,22.85
123380,463.5,22.85
123390,334.5,22.85
123400,378,22.85
123410,344.5,22.85
123420,308,21.4
123430,291.5,20.9
123440,257,20.45
123450,134,19.9
123460,115,19.45
123470,95.5,18.9
123480,77,18.45
123490,59,18.15
123500,42,17.8
123510,27,17.55
123520,14.5,17.2
123530,0,16.9
123540,0,16.55
123550,0,16.4
123560,0,16.2
123570,0,16.05
123580,0,15.85
123590,0,15.65
123600,0,15.45
123610,0,15.3
123620,0,15.1
123630,0,14.9
123640,0,14.75
123650,0,14.5
123660,0,14.35
123670,0,14.2
123680,0,14
123690,0,13.85
123700,0,13.65
123710,0,13.5
123720,0,13.35
123730,0,13.2
123740,0,13.05
123750,0,12.9
123760,0,12.75
123770,0,12.65
123780,0,12.45
123790,0,12.35
123800,0,12.15
123810,0,12
123820,0,11.9
123830,0,11.7
123840,0,11.6
123850,0,11.4
123860,0,11.3
123870,0,11.1
123880,0,11
123890,0,10.85
123900,0,10.7
123910,0,10.55
123920,0,10.45
123930,0,10.35
123940,0,10.25
123950,0,10.15
123960,0,10
123970,0,9.9
123980,0,9.8
123990,0,9.8
124000,0,9.7
124010,0,9.6
124020,0,9.5
124030,0,9.45
124040,0,9.4
124050,0,9.3
124060,0,9.25
124070,0,9.2
124080,0,9.1
124090,0,9.05
124100,0,9.05
124110,0,8.95
124120,0,8.9
124130,0,8.85
124140,0,8.8
124150,0,8.8
124160,0,8.8
124170,0,8.8
124180,0,8.75
124190,0,8.75
124200,0,8.8
124210,0,9.25
124220,0,9.75
124230,0,10.25
124240,12.5,10.75
124250,32,11.25
124260,58,11.7
124270,88.5,12.3
124280,121.5,12.85
124290,156.5,13.4
124300,193.5,14
124310,230.5,14.55
124320,268.5,15.1
124330,306.5,15.8
124340,345,16.45
124350,383,17.15
124360,420,17.85
124370,456.5,18.5
124380,493.5,19.2
124390,529,19.65
124400,563.5,20.1
124410,597,20.55
124420,629,21
124430,661,21.45
124440,689,21.9
124450,718,22.2
124460,745.5,22.5
124470,771,22.85
124480,789.5,23.1
124490,812,23.4
124500,833,23.7
124510,852,23.9
124520,869,24.15
124530,884.5,24.4
124540,899,24.6
124550,910.5,24.85
124560,920,25.1
124570,928,25.2
124580,933.5,25.35
124590,939,25.5
124600,938.5,25.7
124610,938.5,25.85
124620,936.5,25.95
124630,932.5,26
124640,925.5,26.1
124650,917.5,26.1
124660,908.5,26.2
124670,896.5,26.25
124680,882.5,26.35
124690,866.5,26.25
124700,848.5,26.25
124710,829.5,26.15
124720,808,26.15
124730,785,26.15
124740,760,26.05
124750,734,25.95
124760,706.5,25.85
124770,677.5,25.75
124780,648,25.6
124790,616,25.5
124800,542.5,25.4
124810,499.5,25.4
124820,466.5,25.4
124830,368.5,25.4
124840,408,25.4
124850,373,25.4
124860,274,24.05
124870,236.5,23.4
124880,207.5,22.85
124890,255.5,22.3
124900,219,21.75
124910,181.5,21.15
124920,145,20.6
124930,102.5,20.2
124940,68.5,19.85
124950,42,19.4
124960,23,19
124970,0,18.6
124980,0,18.25
124990,0,18.05
125000,0,17.85
125010,0,17.65
125020,0,17.45
125030,0,17.25
125040,0,17.1
125050,0,16.9
125060,0,16.7
125070,0,16.4
125080,0,16.2
125090,0,16
125100,0,15.8
125110,0,15.65
125120,0,15.4
125130,0,15.2
125140,0,15
125150,0,14.75
125160,0,14.6
125170,0,14.45
125180,0,14.25
125190,0,14.1
125200,0,13.9
125210,0,13.75
125220,0,13.6
125230,0,13.55
125240,0,13.45
125250,0,13.4
125260,0,13.25
125270,0,13.2
125280,0,13.1
125290,0,13
125300,0,12.9
125310,0,12.8
125320,0,12.75
125330,0,12.65
125340,0,12.55
125350,0,12.45
125360,0,12.35
125370,0,12.25
125380,0,12.1
125390,0,12
125400,0,11.9
125410,0,11.75
125420,0,11.7
125430,0,11.55
125440,0,11.4
125450,0,11.3
125460,0,11.15
125470,0,11.05
125480,0,10.9
125490,0,10.8
125500,0,10.7
125510,0,10.55
125520,0,10.45
125530,0,10.35
125540,0,10.25
125550,0,10.15
125560,0,10
125570,0,9.9
125580,0,9.8
125590,0,9.8
125600,0,9.75
125610,0,9.7
125620,0,9.65
125630,0,9.6
125640,0,9.6
125650,0,10
125660,0,10.5
125670,0,11
125680,14.5,11.45
125690,26,11.9
125700,52.5,12.35
125710,92,12.95
125720,126,13.5
125730,161,14.1
125740,198.5,14.65
125750,236,15.25
